date,visits,day,month,week,year,black_Friday,easter,stores_open,payday_week
01/10/2019,797240,Tue,Oct,23,2019,0,0,1,0
02/10/2019,719241,Wed,Oct,23,2019,0,0,1,0
03/10/2019,700060,Thu,Oct,23,2019,0,0,1,0
04/10/2019,721915,Fri,Oct,23,2019,0,0,1,0
05/10/2019,839776,Sat,Oct,23,2019,0,0,1,0
06/10/2019,887520,Sun,Oct,24,2019,0,0,1,0
07/10/2019,809622,Mon,Oct,24,2019,0,0,1,0
08/10/2019,784869,Tue,Oct,24,2019,0,0,1,0
09/10/2019,764457,Wed,Oct,24,2019,0,0,1,0
10/10/2019,752541,Thu,Oct,24,2019,0,0,1,0
11/10/2019,765900,Fri,Oct,24,2019,0,0,1,0
12/10/2019,876826,Sat,Oct,24,2019,0,0,1,0
13/10/2019,932621,Sun,Oct,25,2019,0,0,1,0
14/10/2019,850849,Mon,Oct,25,2019,0,0,1,0
15/10/2019,751538,Tue,Oct,25,2019,0,0,1,0
16/10/2019,738768,Wed,Oct,25,2019,0,0,1,0
17/10/2019,711777,Thu,Oct,25,2019,0,0,1,0
18/10/2019,703826,Fri,Oct,25,2019,0,0,1,0
19/10/2019,802175,Sat,Oct,25,2019,0,0,1,0
20/10/2019,838225,Sun,Oct,26,2019,0,0,1,0
21/10/2019,802595,Mon,Oct,26,2019,0,0,1,0
22/10/2019,739552,Tue,Oct,26,2019,0,0,1,0
23/10/2019,734351,Wed,Oct,26,2019,0,0,1,0
24/10/2019,773925,Thu,Oct,26,2019,0,0,1,0
25/10/2019,818803,Fri,Oct,26,2019,0,0,1,0
26/10/2019,929053,Sat,Oct,26,2019,0,0,1,0
27/10/2019,901684,Sun,Oct,27,2019,0,0,1,0
28/10/2019,861796,Mon,Oct,27,2019,0,0,1,0
29/10/2019,784392,Tue,Oct,27,2019,0,0,1,0
30/10/2019,759038,Wed,Oct,27,2019,0,0,1,0
31/10/2019,729502,Thu,Oct,27,2019,0,0,1,0
01/11/2019,809656,Fri,Nov,27,2019,0,0,1,0
02/11/2019,932933,Sat,Nov,27,2019,0,0,1,0
03/11/2019,966664,Sun,Nov,28,2019,0,0,1,0
04/11/2019,895282,Mon,Nov,28,2019,0,0,1,0
05/11/2019,797085,Tue,Nov,28,2019,0,0,1,0
06/11/2019,849909,Wed,Nov,28,2019,0,0,1,0
07/11/2019,892086,Thu,Nov,28,2019,0,0,1,0
08/11/2019,901009,Fri,Nov,28,2019,0,0,1,0
