date,visits
01/10/2019,797240
02/10/2019,719241
03/10/2019,700060
04/10/2019,721915
05/10/2019,839776
06/10/2019,887520
07/10/2019,809622
08/10/2019,784869
09/10/2019,764457
10/10/2019,752541
11/10/2019,765900
12/10/2019,876826
13/10/2019,932621
14/10/2019,850849
15/10/2019,751538
16/10/2019,738768
17/10/2019,711777
18/10/2019,703826
19/10/2019,802175
20/10/2019,838225
21/10/2019,802595
22/10/2019,739552
23/10/2019,734351
24/10/2019,773925
25/10/2019,818803
26/10/2019,929053
27/10/2019,901684
28/10/2019,861796
29/10/2019,784392
30/10/2019,759038
31/10/2019,729502
01/11/2019,809656
02/11/2019,932933
03/11/2019,966664
04/11/2019,895282
05/11/2019,797085
06/11/2019,849909
07/11/2019,892086
08/11/2019,901009
09/11/2019,1056689
10/11/2019,1018874
11/11/2019,1024246
12/11/2019,980119
13/11/2019,1400427
14/11/2019,1347070
15/11/2019,1355895
16/11/2019,1393812
17/11/2019,1461579
18/11/2019,1397408
19/11/2019,1396297
20/11/2019,1392587
21/11/2019,1534557
22/11/2019,2396517
23/11/2019,2055065
24/11/2019,2070499
25/11/2019,2173389
26/11/2019,2089293
27/11/2019,2061928
03/12/2019,1519136
04/12/2019,1352325
05/12/2019,1255011
06/12/2019,1196968
07/12/2019,1204385
08/12/2019,1321671
09/12/2019,1267347
10/12/2019,1235099
11/12/2019,1119534
12/12/2019,1072582
13/12/2019,1061396
14/12/2019,1157964
15/12/2019,1217969
16/12/2019,1215569
17/12/2019,1019679
18/12/2019,1057695
19/12/2019,1063927
20/12/2019,1105591
21/12/2019,1127179
22/12/2019,1150744
23/12/2019,1140625
24/12/2019,1254589
25/12/2019,1608187
26/12/2019,2939025
27/12/2019,2188014
28/12/2019,1865964
29/12/2019,1674584
30/12/2019,1669924
31/12/2019,1258201
01/01/2020,1349729
02/01/2020,1256199
03/01/2020,1278705
04/01/2020,1264783
05/01/2020,1125072
06/01/2020,1058817
07/01/2020,1021537
08/01/2020,941689
09/01/2020,907751
10/01/2020,917540
11/01/2020,1003351
12/01/2020,981352
13/01/2020,894603
14/01/2020,841464
15/01/2020,916781
16/01/2020,810090
17/01/2020,821067
18/01/2020,856896
19/01/2020,850375
20/01/2020,750187
21/01/2020,748529
22/01/2020,711154
23/01/2020,713925
24/01/2020,746704
25/01/2020,818006
26/01/2020,835767
27/01/2020,786910
28/01/2020,710782
29/01/2020,676543
30/01/2020,678489
31/01/2020,696825
01/02/2020,787157
02/02/2020,810234
03/02/2020,704001
04/02/2020,659923
05/02/2020,651718
06/02/2020,627767
07/02/2020,659509
08/02/2020,752215
09/02/2020,799684
10/02/2020,680496
11/02/2020,669844
12/02/2020,639016
13/02/2020,602310
14/02/2020,630544
15/02/2020,774289
16/02/2020,763685
17/02/2020,698238
18/02/2020,667173
19/02/2020,662950
20/02/2020,640079
21/02/2020,681190
22/02/2020,738740
23/02/2020,717824
24/02/2020,671650
25/02/2020,602641
26/02/2020,625289
27/02/2020,601393
28/02/2020,690999
29/02/2020,795016
01/03/2020,769191
02/03/2020,679826
03/03/2020,707806
04/03/2020,630944
05/03/2020,623805
06/03/2020,621930
07/03/2020,722768
08/03/2020,737101
09/03/2020,671993
10/03/2020,646724
11/03/2020,642377
12/03/2020,639345
13/03/2020,715041
14/03/2020,830462
15/03/2020,876692
16/03/2020,836048
17/03/2020,974606
18/03/2020,1051809
19/03/2020,1104357
20/03/2020,1062089
21/03/2020,1178653
22/03/2020,1032155
23/03/2020,1145930
24/03/2020,950243
25/03/2020,830534
26/03/2020,857592
27/03/2020,873505
28/03/2020,958536
29/03/2020,948768
30/03/2020,1056735
31/03/2020,1007817
01/04/2020,1077035
02/04/2020,1106712
03/04/2020,1073261
04/04/2020,1037586
05/04/2020,978303
06/04/2020,1073259
07/04/2020,952109
08/04/2020,931616
09/04/2020,911844
14/04/2020,1068099
15/04/2020,1080971
16/04/2020,1088820
17/04/2020,1176984
18/04/2020,1153202
19/04/2020,1047500
20/04/2020,1174627
21/04/2020,1127612
22/04/2020,1068882
23/04/2020,1049107
24/04/2020,1089313
25/04/2020,1041617
26/04/2020,999949
27/04/2020,1165924
28/04/2020,1215793
29/04/2020,1171591
30/04/2020,1132945
01/05/2020,1245263
02/05/2020,1254247
03/05/2020,1223025
04/05/2020,1211375
05/05/2020,1174969
06/05/2020,1141254
